Camera,Chamber_Column,Plate_position,Plate,WellID,StrainID,Status,NitrogenHistory,SalineHistory,ContSaline,Rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
D,5,plate1,49,b05,St42,Evolved,High,Low,High,3,10115,0.381388086,1,20,1.833333333,49 b05,10.115
D,5,plate1,49,b06,St63,Evolved,High,High,High,3,12817,0.37889575,1,20,1.833333333,49 b06,12.817
D,5,plate1,49,c01,St3,Evolved,Low,Low,High,3,10302,0.405011383,1,20,1.833333333,49 c01,10.302
D,5,plate1,49,c02,St23,Evolved,Low,High,High,3,9886,0.399244265,1,20,1.833333333,49 c02,9.886
D,5,plate1,49,c03,St43,Evolved,High,Low,High,3,7992,0.394547549,1,20,1.833333333,49 c03,7.992
D,5,plate1,49,c04,St64,Evolved,High,High,High,3,8549,0.397033341,1,20,1.833333333,49 c04,8.549
D,5,plate1,49,c06,St24,Evolved,Low,High,High,3,10326,0.387738278,1,20,1.833333333,49 c06,10.326
D,5,plate1,49,d01,St44,Evolved,High,Low,High,3,11775,0.395120883,1,20,1.833333333,49 d01,11.775
D,5,plate1,49,d02,St65,Evolved,High,High,High,3,7543,0.400741943,1,20,1.833333333,49 d02,7.543
D,5,plate1,49,d04,St25,Evolved,Low,High,High,3,11805,0.39940365,1,20,1.833333333,49 d04,11.805
D,5,plate1,49,d05,St45,Evolved,High,Low,High,3,9564,0.388003472,1,20,1.833333333,49 d05,9.564
D,5,plate1,49,d06,St67,Evolved,High,High,High,3,8480,0.381091904,1,20,1.833333333,49 d06,8.48
B,5,plate1,50,a01,Ancestor,Ancestor,NA,NA,High,3,10762,0.36726296,1,20,1.833333333,50 a01,10.762
