PlateNumber,Position,PlatePosition,Well,Nitrogen,Strain,Treatment_rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
15,0_4,plate1,b05,Low,Inoculated,Rep5,4425.5,0.329070558,2,13,2.541666667,15 b05,4.2635
15,0_4,plate1,d02,High,Sterile,Rep5,6670,0.333291088,2,13,2.541666667,15 d02,6.5655
15,0_4,plate1,d05,High,Inoculated,Rep5,3312,0.335570661,2,13,2.541666667,15 d05,3.3525
16,1_0,plate2,b04,Low,Inoculated,Rep6,3298,0.332870715,2,13,2.541666667,16 b04,3.408
16,1_0,plate2,d01,High,Sterile,Rep6,2806.5,0.323516619,2,13,2.541666667,16 d01,2.8885
16,1_0,plate2,d04,High,Inoculated,Rep6,5848,0.334741265,2,13,2.541666667,16 d04,5.4685
17,1_1,plate1,a06,Low,Sterile,Rep7,7436,0.344818713,2,13,2.541666667,17 a06,6.957
17,1_1,plate1,b03,Low,Inoculated,Rep7,7802.5,0.33811574,2,13,2.541666667,17 b03,7.257
17,1_1,plate1,d03,High,Inoculated,Rep7,3318,0.332537668,2,13,2.541666667,17 d03,3.235
18,1_2,plate2,a05,Low,Sterile,Rep8,1622.5,0.331031935,2,13,2.541666667,18 a05,1.311
18,1_2,plate2,b02,Low,Inoculated,Rep8,4131.5,0.336210292,2,13,2.541666667,18 b02,3.9645
18,1_2,plate2,c05,High,Sterile,Rep8,5514.5,0.338161666,2,13,2.541666667,18 c05,5.2575
18,1_2,plate2,d02,High,Inoculated,Rep8,2649,0.325849138,2,13,2.541666667,18 d02,3.174
19,1_3,plate1,b01,Low,Inoculated,Rep9,4374.5,0.327360285,2,13,2.541666667,19 b01,4.302
19,1_3,plate1,c04,High,Sterile,Rep9,3819,0.328025013,2,13,2.541666667,19 c04,3.82
19,1_3,plate1,d01,High,Inoculated,Rep9,3283,0.330266104,2,13,2.541666667,19 d01,3.178
20,1_4,plate2,a03,Low,Sterile,Rep10,2230,0.328137143,2,13,2.541666667,20 a03,1.998
20,1_4,plate2,a06,Low,Inoculated,Rep10,3493,0.332810774,2,13,2.541666667,20 a06,2.8025
20,1_4,plate2,c06,High,Inoculated,Rep10,3518,0.332341378,2,13,2.541666667,20 c06,2.855
11,0_0,plate1,a03,Low,Inoculated,Rep1,11835.5,0.348432638,2,20,2.833333333,11 a03,10.951
11,0_0,plate1,c03,High,Inoculated,Rep1,12487.5,0.336615212,2,20,2.833333333,11 c03,11.1525
11,0_0,plate1,d06,High,Sterile,Rep1,9263,0.336312513,2,20,2.833333333,11 d06,8.689
12,0_1,plate2,a02,Low,Inoculated,Rep2,5200.5,0.332078236,2,20,2.833333333,12 a02,4.5135
12,0_1,plate2,b05,Low,Sterile,Rep2,5053.5,0.337670515,2,20,2.833333333,12 b05,4.6965
12,0_1,plate2,c02,High,Inoculated,Rep2,8678,0.33198222,2,20,2.833333333,12 c02,7.288
12,0_1,plate2,d05,High,Sterile,Rep2,3090,0.321823962,2,20,2.833333333,12 d05,3.33
13,0_2,plate1,a01,Low,Inoculated,Rep3,6034,0.328741824,2,20,2.833333333,13 a01,1.1995
13,0_2,plate1,b04,Low,Sterile,Rep3,3454.5,0.333103503,2,20,2.833333333,13 b04,3.659
13,0_2,plate1,c01,High,Inoculated,Rep3,2339.5,0.330896438,2,20,2.833333333,13 c01,2.129
13,0_2,plate1,d04,High,Sterile,Rep3,7088,0.346100283,2,20,2.833333333,13 d04,7.088
14,0_3,plate2,b03,Low,Sterile,Rep4,5262,0.340203514,2,20,2.833333333,14 b03,4.4945
14,0_3,plate2,b06,Low,Inoculated,Rep4,8825.5,0.34519467,2,20,2.833333333,14 b06,7.924
14,0_3,plate2,d03,High,Sterile,Rep4,6214,0.328607462,2,20,2.833333333,14 d03,6.0155
14,0_3,plate2,d06,High,Inoculated,Rep4,2337.5,0.328412208,2,20,2.833333333,14 d06,2.286
15,0_4,plate1,b05,Low,Inoculated,Rep5,4754,0.328521621,2,20,2.833333333,15 b05,4.2635
